Schulname 	Sozialindex alt 	Sozialindex neu
Katholische Schule Am Weiher - St. Bonifatius 	5 	5
Katholische Schule Bergedorf 	4 	4
Katholische Schule Blankenese 	6 	5
Katholische Schule Farmsen 	5 	4
Katholische Schule Hammer Kirche 	4 	3
Katholische Schule Harburg 	3 	3
Katholische Schule Hochallee 	6 	6
Katholische Schule Neugraben 	3 	3

-- 3 of 7 --

Katholische Schule St. Antonius 	6 	6
Katholische Schule St. Joseph - Wandsbek 	4 	4
Katholische Schule St. Marien - Eulenstraße 	5 	5
Katholische Schule St. Paulus 	3 	2
Katholische Sophienschule 	5 	4
Kurt-Körber-Gymnasium 	2 	2
Lessing-Stadtteilschule 	3 	3
Lise-Meitner-Gymnasium 	4 	4
Loki-Schmidt-Schule 	4 	5
Louise Schroeder Schule 	3 	4
Louise Weiss Gymnasium 	2 	2
Luisen-Gymnasium Bergedorf 	6 	5
Margaretha-Rothe-Gymnasium 	4 	4
Marie-Beschütz-Schule 	5 	6
Marion Dönhoff Gymnasium 	6 	6
Matthias-Claudius-Gymnasium 	4 	4
Max-Brauer-Schule 	5 	5
Max-Schmeling-Stadtteilschule 	2 	2
Max-Traeger-Schule 	2 	2
monaddrei-Schule Hamburg 	nv 	5
Nelson-Mandela-Schule im Stadtteil Kirchdorf 	1 	2
Niels-Stensen-Gymnasium 	4 	4
Otto-Hahn-Schule 	2 	2
Rudolf-Roß-Grundschule 	3 	4
Rudolf-Steiner-Schule Altona 	nv 	5
Rudolf-Steiner-Schule Bergedorf 	nv 	5
Rudolf-Steiner-Schule Bergstedt 	nv 	5
Rudolf-Steiner-Schule Harburg 	nv 	5
Rudolf-Steiner-Schule Nienstedten 	nv 	6
Rudolf-Steiner-Schule Wandsbek 	nv 	5
Sankt-Ansgar-Schule 	5 	3
Schule Ahrensburger Weg 	6 	6
Schule Alsterdorfer Straße 	5 	6
Schule Alsterredder 	6 	6
Schule Altengamme-Deich 	5 	5
Schule am Eichtalpark 	3 	2
Schule am Schleemer Park 	1 	1
Schule am See 	2 	1
Schule Am Sooren 	4 	2
Schule Am Walde 	6 	6
Schule An den Teichwiesen 	6 	6
Schule an der Burgweide 	1 	1
Schule An der Gartenstadt 	4 	4
Schule An der Glinder Au 	1 	1
Schule An der Isebek 	6 	6
Schule An der Seebek 	3 	3
Schule Anna-Susanna-Stieg 	4 	4
Schule Appelhoff 	2 	1
Schule Arp-Schnitger-Stieg 	3 	3
Schule auf der Uhlenhorst 	5 	5
Schule auf der Veddel 	1 	1
Schule Bahrenfelder Straße 	4 	5

-- 4 of 7 --

Schule Bandwirkerstraße 	3 	2
Schule Barlsheide 	1 	1
Schule Beim Pachthof 	1 	1
Schule Bekassinenau 	5 	4
Schule Bergstedt 	6 	5
Schule Bonhoefferstraße 	3 	2
Schule Bovestraße 	5 	5
Schule Brehmweg 	2 	4
Schule Brockdorffstraße 	5 	4
Schule Buckhorn 	6 	5
Schule Burgunderweg 	5 	5
Schule Charlottenburger Straße 	1 	1
Schule Cranz 	3 	2
Schule Curslack-Neuengamme 	5 	5
Schule Dempwolffstraße 	2 	2
Schule Döhrnstraße 	5 	5
Schule Duvenstedter Markt 	5 	5
Schule Eberhofweg 	3 	3
Schule Eduardstraße 	2 	4
Schule Eenstock 	3 	3
Schule Ernst-Henning-Straße 	4 	3
Schule Eulenkrugstraße 	6 	5
Schule Fahrenkrön 	5 	5
Schule Forsmannstraße 	5 	5
Schule Friedrich-Frank-Bogen 	2 	1
Schule Frohmestraße 	4 	5
Schule Fuchsbergredder 	3 	2
Schule Fünfhausen-Warwisch 	5 	5
Schule Furtweg 	3 	3
Schule Genslerstraße 	3 	4
Schule Grumbrechtstraße 	2 	2
Schule Grützmühlenweg 	4 	5
Schule Hasselbrook 	2 	4
Schule Heidacker 	4 	4
Schule Hinsbleek 	5 	5
Schule Hinter der Lieth 	5 	5
Schule Hohe Landwehr 	2 	2
Schule Humboldtstraße 	5 	5
Schule In der Alten Forst 	5 	5
Schule Iserbarg 	5 	5
Schule Iserbrook 	5 	5
Schule Jenfelder Straße 	1 	1
Schule Kamminer Straße 	3 	3
Schule Kapellenweg 	2 	2
Schule Kielortallee 	5 	6
Schule Klein Flottbeker Weg 	6 	6
Schule Knauerstraße 	6 	6
Schule Krohnstieg 	4 	3
Schule Kroonhorst 	1 	1
Schule Lämmersieth 	1 	2
Schule Langbargheide 	1 	1
Schule Lehmkuhlenweg 	6 	5

-- 5 of 7 --

Schule Lemsahl-Mellingstedt 	6 	6
Schule Leuschnerstraße 	3 	3
Schule Lutterothstraße 	4 	5
Schule Maretstraße 	1 	1
Schule Marmstorf 	5 	4
Schule Marschweg 	6 	5
Schule Max-Eichholz-Ring 	4 	3
Schule Mendelssohnstraße 	2 	3
Schule Mittlerer Landweg 	5 	3
Schule Molkenbuhrstraße 	3 	4
Schule Moorflagen 	4 	5
Schule Müssenredder 	5 	4
Schule Nettelnburg 	4 	4
Schule Neubergerweg 	3 	3
Schule Neuland 	5 	4
Schule Ochsenwerder 	5 	5
Schule Ohkamp 	5 	4
Schule Ohrnsweg 	2 	2
Schule Öjendorfer Damm 	1 	1
Schule Oppelner Straße 	1 	1
Schule Potsdamer Straße 	1 	1
Schule Rahlstedter Höhe 	3 	4
Schule Ratsmühlendamm 	4 	4
Schule Redder 	6 	6
Schule Rellinger Straße 	5 	5
Schule Richardstraße 	5 	5
Schule Rönneburg 	4 	3
Schule Rönnkamp 	5 	4
Schule Rotenhäuser Damm 	1 	1
Schule Rothestraße 	5 	5
Schule Röthmoorweg 	2 	3
Schule Rungwisch 	3 	3
Schule Sander Straße 	3 	3
Schule Scheeßeler Kehre 	4 	4
Schule Schenefelder Landstraße 	4 	5
Schule Schnuckendrift 	5 	4
Schule Schulkamp 	6 	6
Schule Sethweg 	5 	5
Schule Speckenreye 	2 	2
Schule Stengelestraße 	1 	1
Schule Sterntalerstraße 	1 	1
Schule Stockflethweg 	4 	4
Schule Strenge 	6 	6
Schule Surenland 	3 	3
Schule Tornquiststraße 	5 	5
Schule Traberweg 	4 	4
Schule Trenknerweg 	5 	6
Schule Turmweg 	6 	6
Schule Vizelinstraße 	1 	4
Schule Wegenkamp 	3 	5
Schule Wesperloh 	4 	4
Schule Wielandstraße 	4 	4

-- 6 of 7 --

Schule Wildschwanbrook 	3 	3
Schule Windmühlenweg 	6 	6
Schule Zollenspieker 	5 	5
Sophie-Barat-Schule 	6 	5
Stadtteilschule Altona 	2 	3
Stadtteilschule Am Hafen 	1 	2
Stadtteilschule Am Heidberg 	4 	4
Stadtteilschule Bahrenfeld 	3 	3
Stadtteilschule Bergedorf 	4 	3
Stadtteilschule Bergstedt 	5 	5
Stadtteilschule Blankenese 	5 	5
Stadtteilschule Bramfeld 	3 	2
Stadtteilschule Ehestorfer Weg 	2 	2
Stadtteilschule Eidelstedt 	2 	2
Stadtteilschule Eppendorf 	4 	5
Stadtteilschule Finkenwerder 	3 	3
Stadtteilschule Fischbek-Falkenberg 	4 	3
Stadtteilschule Flottbek 	3 	2
Stadtteilschule Hamburg-Mitte 	2 	2
Stadtteilschule Helmuth Hübener 	2 	2
Stadtteilschule Horn 	2 	2
Stadtteilschule Kirchwerder 	4 	5
Stadtteilschule Lohbrügge 	3 	2
Stadtteilschule Lurup 	2 	2
Stadtteilschule Meiendorf 	4 	3
Stadtteilschule Mümmelmannsberg 	1 	1
Stadtteilschule Niendorf 	5 	5
Stadtteilschule Öjendorf 	1 	1
Stadtteilschule Oldenfelde 	3 	4
Stadtteilschule Poppenbüttel 	5 	4
Stadtteilschule Richard-Linde-Weg 	2 	3
Stadtteilschule Rissen 	4 	5
Stadtteilschule Stellingen 	3 	4
Stadtteilschule Stübenhofer Weg 	2 	1
Stadtteilschule Süderelbe 	2 	2
Stadtteilschule Walddörfer 	5 	5
Stadtteilschule Wilhelmsburg 	1 	1
Stadtteilschule Winterhude 	5 	5
Struensee Gymnasium 	4 	4
Theodor-Haubach-Schule 	3 	5
Walddörfer-Gymnasium 	6 	6
Westerschule Finkenwerder 	3 	4
Wilhelm-Gymnasium 	6 	6
Wolfgang-Borchert-Schule 	4 	5
Erläuterungen: SI = Sozialindex, nv = nicht vorhanden
Bei Schulen ohne Sozialindex in 2013 handelt es sich um neu gegründete Schulen oder um
Schulen in freier Trägerschaft, für die die Berechnung grundsätzlich optional ist.

-- 7 of 7 --

